selling_price,seller_type,Km_driven,owner_type,fuel_type,transmission_type,Mileage_KMpH,Engine_cc,max_power_bhp,Seats,No_year
1.94,200,110699,100,100,100,20.36,1197,78.9,5,10
6.86,100,5000,100,100,200,21.4,1197,83.1,5,3
2,100,50000,100,100,100,22.74,796,47.3,5,6
2.5,200,44000,100,100,100,19.1,1197,85.8,5,12
7.3,100,90000,100,200,100,24.3,1248,88.5,5,4
6.5,200,55000,100,100,100,17.01,1591,121.3,5,6
7.9,200,45000,100,200,100,24.3,1248,88.5,5,5
6.2,100,30000,100,100,100,21.4,1197,83.1,5,5
5.1,100,50000,100,100,100,17.01,1591,121.3,5,9
3.75,100,20000,100,100,100,15.37,1196,73,5,9
5.25,200,69000,100,200,100,19.01,1461,108.5,5,7
6.2,300,19843,100,100,200,21.21,1197,81.8,5,5
2.7,100,20000,100,200,100,19.09,1405,69.01,5,8
14.5,200,52300,100,200,100,13.68,2393,147.51,7,5
8.45,100,40000,100,100,200,18,1497,117.3,5,6
3.9,200,61500,100,200,100,23.4,1248,74,5,8
3.95,200,59000,100,100,100,18,1198,86.7,5,7
4.5,100,40000,100,100,100,18.9,1197,81.86,5,4
17,100,60000,100,200,200,17.68,1968,174.33,5,9
3.25,200,61000,100,100,100,18.9,1197,82,5,9
3.5,100,70000,100,200,100,25.32,1198,77,6,6
6.5,200,63000,100,200,100,15.1,2179,140,7,9
2.2,100,40000,100,100,100,19,998,67.1,5,9
3.5,100,49000,100,200,100,17.21,1493,100,7,7
7.5,100,22000,100,200,100,28.4,1248,74.02,5,5
2.99,200,57977,100,100,100,17,1497,118,5,12
3.78,100,70000,100,200,100,24.4,1120,71,5,6
5.24,200,48242,100,200,100,20.77,1248,88.76,7,8
1.69,200,68000,100,200,100,20,1399,68.05,5,10
5,100,40000,100,200,100,20.77,1248,88.8,7,8
3.8,100,113450,100,200,100,23.4,1248,74,5,9
4,100,80000,100,100,200,20.51,998,67,5,4
5.65,200,1000,100,100,200,20.3,1086,68,5,2
3.35,200,20292,100,100,100,20.51,998,67.04,5,7
3,200,67900,100,200,100,12.05,2179,120,7,12
2,100,70000,100,200,100,25.44,936,57.6,5,10
10.51,200,40000,100,200,100,15.4,1997,120,7,7
5.1,100,60000,100,200,100,24,1186,73.97,5,5
3.7,100,25000,100,100,200,24.04,999,67,5,4
2,100,70000,100,100,100,18.9,998,67.1,5,16
6.25,100,21000,100,200,100,27.39,1248,74,5,4
12.9,200,39000,100,200,100,16.36,2179,140,7,4
8.9,200,30000,100,100,100,15.8,1591,121.3,5,5
4.2,200,61000,100,200,100,22.32,1582,126.3,5,10
5,300,5743,100,100,100,20.4,1197,83.11,5,5
7.5,200,44000,100,200,100,20.45,1461,83.8,5,5
6,100,24200,100,100,100,18.9,1197,81.86,5,4
5.9,100,57000,100,200,100,27.39,1248,74,5,5
1.9,200,58000,100,100,100,20.36,1197,78.9,5,11
5,100,15000,100,100,100,19.44,1198,67,7,5
